Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,Column1
Analyses of Social Issues and Public Policy,1529-7489,1530-2415,1.5,Q3,"PSYCHOLOGY, SOCIAL - SSCI (Q4); SOCIAL ISSUES - SSCI (Q3)",0.00078,2.5,
Analytic Methods in Accident Research,2213-6657,2213-6665,12.9,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1); TRANSPORTATION - SSCI (Q1)",0.00293,3.57,
Andamios,1870-0063,2594-1917,0.2,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00032,1.9,
ANNALS OF BEHAVIORAL MEDICINE,0883-6612,1532-4796,3.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.00792,2.4,
Annals of Clinical Psychiatry,1040-1237,1547-3325,1.3,Q4,PSYCHIATRY - SSCI (Q4),0.00082,3.35,
ANNALS OF DYSLEXIA,0736-9387,1934-7243,2.3,Q2,"EDUCATION, SPECIAL - SSCI (Q2); REHABILITATION - SSCI (Q2)",0.00084,1.98,
Annals of Economics and Finance,1529-7373,1529-7373,0.4,Q4,ECONOMICS - SSCI (Q4),0.00013,2.1,
Annals of General Psychiatry,N/A,1744-859X,3.7,Q2,PSYCHIATRY - SSCI (Q2),0.0021,3.35,
ANNALS OF HUMAN BIOLOGY,0301-4460,1464-5033,1.7,Q2,"ANTHROPOLOGY - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00139,2.13,
Annals of Public and Cooperative Economics,1370-4788,1467-8292,1.6,Q3,ECONOMICS - SSCI (Q3),0.00079,2.1,
ANNALS OF REGIONAL SCIENCE,0570-1864,1432-0592,1.7,Q3,ECONOMICS - SSCI (Q3); ENVIRONMENTAL STUDIES - SSCI (Q4); GEOGRAPHY - SSCI (Q4); REGIONAL & URBAN PLANNING - SSCI (Q4),0.00169,2.7,
ANNALS OF SCIENCE,0003-3790,1464-505X,0.3,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q4),0.00017,0.75,
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,0002-7162,1552-3349,2.8,Q2,"POLITICAL SCIENCE - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00677,1.9,
Annals of the American Association of Geographers,2469-4452,2469-4460,3.9,Q1,GEOGRAPHY - SSCI (Q1),0.00929,2.4,
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,13.2,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q1); SOCIOLOGY - SSCI (Q1)",0.01185,2.85,
ANNEE PSYCHOLOGIQUE,0003-5033,1955-2580,2,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00037,2.4,
Annual Review of Anthropology,0084-6570,1545-4290,2.8,Q1,ANTHROPOLOGY - SSCI (Q1),0.00284,1.2,
Annual Review of Applied Linguistics,0267-1905,1471-6356,3.7,Q1,LINGUISTICS - SSCI (Q1),0.00072,1.2,
Annual Review of Clinical Psychology,1548-5943,1548-5951,18.4,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00819,2.8,
Annual Review of Criminology,2572-4568,2572-4568,6.9,Q1,CRIMINOLOGY & PENOLOGY - SSCI (Q1),0.00322,1.8,
Annual Review of Economics,1941-1383,1941-1391,5.6,Q1,ECONOMICS - SSCI (Q1),0.01157,2.1,
Annual Review of Environment and Resources,1543-5938,1545-2050,16.4,Q1,ENVIRONMENTAL STUDIES - SSCI (Q1),0.00504,3.2,
Annual Review of Financial Economics,1941-1367,1941-1375,3.2,Q2,"BUSINESS, FINANCE - SSCI (Q2); ECONOMICS - SSCI (Q2)",0.00313,2.45,
Annual Review of Law and Social Science,1550-3585,1550-3631,2.4,Q1,LAW - SSCI (Q1); SOCIOLOGY - SSCI (Q2),0.00236,1.7,
Annual Review of Linguistics,2333-9691,2333-9691,3.2,Q1,LINGUISTICS - SSCI (Q1),0.00224,1.2,
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,13.7,Q1,"MANAGEMENT - SSCI (Q1); PSYCHOLOGY, APPLIED - SSCI (Q1)",0.00748,4,
Annual Review of Political Science,1094-2939,1545-1577,10.8,Q1,POLITICAL SCIENCE - SSCI (Q1),0.01117,1.9,
