Q,Rank,CS,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,Column1,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Column2,Normalized Eigenfactor,Column3
Q1,27,,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,"32,027",34.209,33.936,,36.883,10.075,53,8.0,6.1,0.052200,14.209,0.00,99.630,,6.36936,
Q1,28,,LANCET ONCOLOGY,LANCET ONCOL,1470-2045,"53,592",33.752,33.223,,35.843,8.497,167,5.2,4.1,0.143420,13.587,76.65,98.566,,17.49773,
Q1,29,,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471-003X,"42,809",33.654,33.442,,36.673,5.260,50,10.1,7.6,0.055400,15.783,0.00,99.815,,6.75899,
Q1,30,,NATURE REVIEWS GENETICS,NAT REV GENET,1471-0056,"37,390",33.133,32.816,,44.337,11.667,45,8.4,5.2,0.070320,21.588,0.00,99.718,,8.57984,
Q1,31,,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,"12,446",32.963,32.741,,40.347,5.133,15,10.8,7.0,0.015680,16.566,0.00,99.265,,1.91390,
Q1,32,,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,"155,297",32.956,32.193,,25.597,11.421,285,8.0,5.4,0.261940,9.413,95.09,98.156,,31.95720,
Q1,33,,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,0079-6425,"17,409",31.560,31.210,,37.352,8.074,54,6.9,7.3,0.020910,8.322,0.00,98.885,,2.55104,
Q1,34,,Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,"65,923",31.538,31.176,,40.301,7.560,141,6.2,5.4,0.140750,14.668,94.33,98.555,,17.17265,
Q1,35,,Nature Photonics,NAT PHOTONICS,1749-4885,"45,057",31.241,30.684,,36.870,9.548,115,6.0,6.1,0.100240,13.783,92.17,99.255,,12.23012,
Q1,36,,NATURE METHODS,NAT METHODS,1548-7091,"72,483",30.822,30.161,,36.147,5.284,155,7.1,4.9,0.205620,21.743,97.42,99.351,,25.08670,
Q1,37,,Nature Catalysis,NAT CATAL,2520-1158,"3,787",30.471,29.676,,30.480,6.027,112,1.4,5.5,0.014060,10.921,88.39,99.057,,1.71605,
Q1,38,,Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,"86,899",30.289,29.598,,33.075,7.578,268,5.3,4.2,0.158830,8.184,83.96,99.036,,19.37822,
Q1,39,,BMJ-British Medical Journal,BMJ-BRIT MED J,1756-1833,"118,586",30.223,28.202,,27.997,12.570,179,11.0,4.2,0.145170,11.261,73.74,97.273,,17.71101,
Q1,40,,LANCET NEUROLOGY,LANCET NEUROL,1474-4422,"33,050",30.039,29.451,,31.504,8.218,78,6.8,4.2,0.062420,11.578,60.26,99.755,,7.61549,
Q1,41,,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,"10,279",29.848,29.465,,23.722,8.395,43,4.6,6.0,0.024470,7.371,4.65,99.432,,2.98608,
Q1,42,,Cancer Discovery,CANCER DISCOV,2159-8274,"18,093",29.497,29.000,,28.298,7.359,92,4.2,5.2,0.069280,12.673,86.96,97.746,,8.45299,
Q1,43,,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,0360-1285,"12,727",28.938,28.547,,30.711,5.774,31,9.4,7.5,0.010500,7.298,0.00,98.879,,1.28165,
Q1,44,,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,"10,469",28.800,28.516,,25.806,5.978,46,4.8,6.8,0.025380,7.978,8.70,99.650,,3.09683,
Q1,45,,NATURE GENETICS,NAT GENET,1061-4036,"97,380",27.603,26.772,,30.331,9.711,173,8.8,5.7,0.207900,16.922,100.00,99.153,,25.36444,
Q1,46,,Nature Electronics,NAT ELECTRON,2520-1131,"1,927",27.500,26.339,,27.500,3.893,56,1.4,4.9,0.007860,10.047,89.29,99.812,,0.95956,
Q1,47,,ADVANCED MATERIALS,ADV MATER,0935-9648,"264,939",27.398,26.275,,26.444,5.362,"1,255",4.6,4.8,0.484600,6.439,85.82,97.985,,59.12120,
Q1,48,,Joule,JOULE,2542-4351,"7,755",27.054,25.941,,27.059,9.492,183,1.5,3.8,0.023470,8.376,83.06,97.535,,2.86435,
Q1,49,,Nature Reviews Neurology,NAT REV NEUROL,1759-4758,"11,029",27.000,26.622,,25.125,5.851,47,5.1,6.0,0.028770,8.901,14.89,99.265,,3.51007,
Q1,50,,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927-796X,"7,964",26.625,26.458,,34.967,10.750,16,10.7,6.2,0.005670,7.365,0.00,97.669,,0.69208,
Q1,51,,CANCER CELL,CANCER CELL,1535-6108,"41,064",26.602,26.193,,30.237,4.828,99,6.8,5.8,0.095430,12.789,89.90,97.771,,11.64320,
Q1,52,,Materials Today,MATER TODAY,1369-7021,"15,572",26.416,26.265,,32.072,6.066,76,5.8,5.0,0.022230,7.431,65.79,97.293,,2.71288,
Q1,53,,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,"28,867",25.798,25.660,,24.659,8.500,50,12.9,9.9,0.029970,8.993,0.00,98.235,,3.65727,
Q1,54,,Annual Review of Biochemistry,ANNU REV BIOCHEM,0066-4154,"20,499",25.787,25.667,,25.388,4.933,30,12.3,7.2,0.024820,11.564,0.00,99.158,,3.02844,
Q1,55,,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,0031-9333,"28,712",25.588,25.438,,32.150,7.923,39,11.9,11.0,0.024010,10.566,0.00,99.383,,2.92985,
Q1,56,,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,"9,533",25.340,24.493,,23.264,9.116,69,3.3,5.0,0.041630,9.060,63.77,98.951,,5.07994,
Q1,57,,Advanced Energy Materials,ADV ENERGY MATER,1614-6832,"67,558",25.245,24.222,,23.315,4.611,581,2.8,3.7,0.168910,5.434,92.25,96.716,,20.60815,
Q1,58,,Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,"9,113",25.094,24.307,,23.225,8.635,74,3.5,4.7,0.039550,9.521,74.32,98.915,,4.82549,
Q1,59,,JAMA Oncology,JAMA ONCOL,2374-2437,"13,794",24.799,24.191,,23.246,7.331,151,2.5,4.5,0.064650,9.413,85.43,96.926,,7.88831,
Q1,60,,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,"25,163",24.446,23.719,,22.945,6.350,143,4.7,5.0,0.077510,9.870,69.93,99.462,,9.45668,
Q1,61,,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,****-****,"18,995",23.700,22.522,,25.928,4.856,125,4.1,5.0,0.040870,5.951,97.60,99.562,,4.98725,
Q1,62,,CIRCULATION,CIRCULATION,0009-7322,"158,218",23.603,22.711,,21.054,7.249,354,11.3,6.4,0.205020,8.609,96.33,99.434,,25.01298,
Q1,63,,EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,"59,968",22.673,20.800,,22.162,10.864,257,5.4,4.7,0.140620,8.262,87.55,98.913,,17.15599,
Q1,64,,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,0079-6700,"26,874",22.620,22.259,,29.063,5.983,60,8.5,7.2,0.018960,5.605,0.00,99.438,,2.31415,
Q1,65,,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,"19,987",22.556,22.413,,27.071,3.829,35,11.4,7.9,0.019640,9.205,0.00,98.889,,2.39647,
Q1,66,,IMMUNITY,IMMUNITY,1074-7613,"54,819",22.553,21.841,,25.733,6.076,171,7.0,6.3,0.124040,11.879,82.46,99.051,,15.13385,
Q1,67,,Nature Chemistry,NAT CHEM,1755-4330,"35,223",21.687,21.474,,24.633,5.968,124,5.8,7.4,0.082750,9.154,98.39,96.893,,10.09661,
Q1,68,,Lancet Global Health,LANCET GLOB HEALTH,2214-109X,"9,165",21.597,20.892,,22.408,5.383,120,3.1,4.9,0.044790,10.252,85.83,99.464,,5.46446,
Q1,68,,Lancet Global Health,LANCET GLOB HEALTH,2214-109X,"9,165",21.597,20.892,,22.408,5.383,120,3.1,4.9,0.044790,10.252,85.83,99.464,,5.46446,
Q1,70,,Cell Metabolism,CELL METAB,1550-4131,"39,581",21.567,20.921,,24.288,6.023,173,5.8,6.3,0.097480,9.555,86.13,97.972,,11.89289,
Q1,71,,REVIEWS OF GEOPHYSICS,REV GEOPHYS,8755-1209,"12,597",21.449,21.163,,22.628,3.000,31,14.6,9.5,0.013530,8.861,0.00,99.412,,1.65159,
Q1,72,,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,"58,033",21.317,20.430,,19.792,6.062,130,10.6,5.0,0.091210,9.842,76.92,96.667,,11.12810,
Q1,73,,Nature Climate Change,NAT CLIM CHANGE,1758-678X,"27,079",20.893,20.327,,24.312,4.256,133,4.8,5.5,0.089000,9.591,96.24,99.497,,10.85880,
Q1,73,,Nature Climate Change,NAT CLIM CHANGE,1758-678X,"27,079",20.893,20.327,,24.312,4.256,133,4.8,5.5,0.089000,9.591,96.24,99.497,,10.85880,
Q1,75,,Cell Stem Cell,CELL STEM CELL,1934-5909,"26,470",20.860,20.180,,23.452,4.444,117,5.9,6.4,0.078160,11.114,88.03,97.728,,9.53589,
Q1,76,,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,"52,600",20.850,20.613,,24.611,2.000,36,21.9,10.6,0.027120,10.180,66.67,99.494,,3.30875,
Q1,76,,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,"52,600",20.850,20.613,,24.611,2.000,36,21.9,10.6,0.027120,10.180,66.67,99.494,,3.30875,
Q1,78,,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,"72,738",20.832,20.695,,20.952,3.552,324,6.4,5.7,0.121970,6.244,0.00,96.328,,14.88048,
Q1,79,,Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,"6,911",20.711,20.333,,18.624,5.690,42,4.3,6.7,0.019590,6.413,16.67,99.412,,2.39061,
Q1,80,,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,0735-1097,"101,927",20.589,19.328,,19.035,5.802,398,7.6,5.6,0.190280,7.720,82.16,98.188,,23.21428,
Q1,81,,JOURNAL OF HEPATOLOGY,J HEPATOL,0168-8278,"42,177",20.582,19.541,,15.835,5.387,204,5.7,5.9,0.082020,4.884,83.33,98.295,,10.00669,
Q1,82,,CELL RESEARCH,CELL RES,1001-0602,"16,237",20.507,20.160,,20.396,4.148,61,6.2,6.1,0.037700,7.985,98.36,96.667,,4.60061,
Q1,83,,NATURE IMMUNOLOGY,NAT IMMUNOL,1529-2908,"44,709",20.479,19.950,,22.300,5.586,133,8.6,6.0,0.081870,10.276,88.72,98.418,,9.98841,
Q1,84,,Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,"7,100",20.260,19.930,,17.825,7.512,43,4.4,6.4,0.021130,6.513,4.65,97.464,,2.57855,
Q1,85,,NATURE NEUROSCIENCE,NAT NEUROSCI,1097-6256,"62,933",20.071,19.599,,21.504,4.990,192,8.4,6.7,0.144390,11.528,95.31,99.446,,17.61604,
Q1,86,,NATURE CELL BIOLOGY,NAT CELL BIOL,1465-7392,"41,904",20.042,19.727,,20.960,6.311,135,8.8,6.4,0.077220,10.227,86.67,96.154,,9.42118,
Q1,87,,Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,"1,424",20.000,19.800,,19.923,1.833,6,7.3,12.9,0.002820,8.598,0.00,97.794,,0.34436,
Q1,88,,Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,"17,080",19.900,19.760,,28.727,5.875,24,10.7,6.3,0.019310,12.645,0.00,97.785,,2.35700,
Q1,89,,GUT,GUT,0017-5749,"46,583",19.819,19.260,,17.751,7.469,192,8.0,6.5,0.071310,5.920,95.83,97.159,,8.70047,
Q1,90,,Chem,CHEM-US,2451-9294,"7,022",19.735,19.350,,20.292,4.457,173,1.9,5.3,0.024580,6.322,79.19,95.763,,2.99938,
Q1,91,,Annual Review of Physiology,ANNU REV PHYSIOL,0066-4278,"9,466",19.556,19.511,,17.248,4.769,26,11.1,8.1,0.010190,6.672,0.00,98.148,,1.24370,
Q1,92,,Annual Review of Plant Biology,ANNU REV PLANT BIOL,1543-5008,"20,410",19.540,19.320,,24.792,4.586,29,13.0,6.7,0.015090,9.195,0.00,99.786,,1.84139,
Q1,93,,Nature Physics,NAT PHYS,1745-2473,"37,111",19.256,18.933,,20.921,5.021,190,6.0,7.3,0.115170,10.911,98.95,97.059,,14.05172,
Q1,94,,ACS Energy Letters,ACS ENERGY LETT,2380-8195,"18,351",19.003,18.005,,18.708,4.034,349,2.1,3.5,0.059680,5.223,97.42,96.607,,7.28153,
Q1,95,,Nature Biomedical Engineering,NAT BIOMED ENG,2157-846X,"3,143",18.952,18.658,,18.952,5.153,72,2.0,6.4,0.014180,7.696,97.22,99.425,,1.73097,
Q1,96,,Science Robotics,SCI ROBOT,2470-9476,"1,859",18.684,17.848,,20.131,2.424,66,1.9,5.8,0.006570,6.194,98.48,98.214,,0.80154,
Q1,97,,JAMA Internal Medicine,JAMA INTERN MED,2168-6106,"17,260",18.652,17.890,,19.658,6.273,128,3.9,5.5,0.086180,9.655,91.41,96.061,,10.51491,
Q1,98,,ANNALS OF ONCOLOGY,ANN ONCOL,0923-7534,"45,813",18.274,17.806,,15.254,5.845,187,5.1,4.3,0.107060,5.189,75.40,96.516,,13.06171,
Q1,99,,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,1529-1006,"1,591",18.250,18.000,,28.526,2.667,3,7.4,10.4,0.002870,11.980,100.00,98.913,,0.35062,
Q1,100,,Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,"21,277",18.156,18.000,,26.306,6.367,30,12.3,9.7,0.019500,11.529,0.00,98.120,,2.37990,
Q1,100,,Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,"21,277",18.156,18.000,,26.306,6.367,30,12.3,9.7,0.019500,11.529,0.00,98.120,,2.37990,
Q1,102,,EUROPEAN UROLOGY,EUR UROL,0302-2838,"33,096",17.947,16.797,,16.519,7.172,174,5.4,4.3,0.063030,4.833,80.46,98.235,,7.69074,
Q1,103,,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,"52,888",17.861,17.522,,15.395,3.484,215,9.4,6.5,0.068300,5.508,100.00,99.534,,8.33261,
Q1,104,,INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,"22,617",17.679,15.792,,14.340,4.071,98,7.8,4.9,0.037440,4.918,67.35,95.833,,4.56857,
Q1,105,,BLOOD,BLOOD,0006-4971,"165,117",17.543,16.722,,14.823,3.190,494,9.1,6.3,0.205320,4.979,85.43,99.342,,25.04904,
Q1,106,,JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,"13,433",17.471,16.996,,18.334,5.736,106,4.1,6.7,0.056110,7.729,87.74,98.984,,6.84576,
Q1,106,,JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,"13,433",17.471,16.996,,18.334,5.736,106,4.1,6.7,0.056110,7.729,87.74,98.984,,6.84576,
Q1,108,,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,"61,914",17.452,15.946,,15.303,5.415,224,9.5,6.0,0.085230,5.706,93.75,95.356,,10.39854,
Q1,109,,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,0031-6997,"12,500",17.395,17.372,,22.376,2.455,22,11.1,8.3,0.010370,6.573,0.00,99.444,,1.26569,
Q1,110,,GASTROENTEROLOGY,GASTROENTEROLOGY,0016-5085,"75,858",17.373,16.642,,18.785,5.583,254,9.1,6.2,0.104030,6.597,87.40,96.023,,12.69266,
Q1,111,,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,"9,395",17.333,16.939,,17.062,3.056,18,14.7,8.7,0.008170,7.997,100.00,98.090,,0.99788,
Q1,111,,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,"9,395",17.333,16.939,,17.062,3.056,18,14.7,8.7,0.008170,7.997,100.00,98.090,,0.99788,
Q1,113,,Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,"16,289",17.127,16.196,,15.093,3.226,137,4.5,6.0,0.042180,5.001,94.89,98.775,,5.14606,
Q1,114,,Applied Physics Reviews,APPL PHYS REV,1931-9401,"3,445",17.054,16.935,,17.861,1.485,66,3.1,6.9,0.011250,4.766,15.15,96.429,,1.37291,
Q1,115,,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,"18,766",17.032,16.943,,18.126,4.759,54,8.7,9.5,0.032990,7.487,0.00,95.882,,4.02542,
Q1,116,,Nano Today,NANO TODAY,1748-0132,"8,882",16.907,16.433,,20.603,2.825,57,5.6,4.9,0.013240,4.682,22.81,95.722,,1.61558,
Q1,117,,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,"116,431",16.836,16.176,,15.722,3.171,"1,382",4.2,4.6,0.214130,3.643,92.91,95.322,,26.12460,
Q1,118,,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,"5,895",16.778,16.667,,16.076,2.588,34,6.4,9.2,0.010410,4.853,29.41,96.610,,1.27079,
Q1,119,,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,"5,083",16.750,16.750,,22.613,6.500,20,7.2,6.6,0.009070,7.728,0.00,99.359,,1.10719,
Q1,120,,National Science Review,NATL SCI REV,2095-5138,"2,775",16.693,16.273,,15.209,3.549,82,2.5,6.8,0.009760,4.745,64.63,96.479,,1.19139,
Q1,121,,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,0926-3373,"97,041",16.683,14.846,,14.443,5.202,"1,097",3.7,4.6,0.120450,2.267,98.36,97.530,,14.69609,
Q1,122,,Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,"8,803",16.625,16.231,,18.087,3.543,46,5.0,6.2,0.020790,5.720,10.87,98.438,,2.53756,
Q1,123,,Nano Energy,NANO ENERGY,2211-2855,"52,300",16.602,14.981,,15.988,3.667,"1,027",2.8,3.9,0.115660,3.240,96.20,94.793,,14.11119,
Q1,124,,Annual Review of Public Health,ANNU REV PUBL HEALTH,0163-7525,"7,435",16.463,16.259,,18.341,3.880,25,9.5,5.8,0.012820,7.523,0.00,98.911,,1.56453,
Q1,124,,Annual Review of Public Health,ANNU REV PUBL HEALTH,0163-7525,"7,435",16.463,16.259,,18.341,3.880,25,9.5,5.8,0.012820,7.523,0.00,98.911,,1.56453,
Q1,126,,ADVANCES IN PHYSICS,ADV PHYS,0001-8732,"5,718",16.375,16.375,,32.320,3.000,4,18.3,9.2,0.004950,15.688,0.00,93.478,,0.60415,
Q1,127,,Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,"4,444",16.359,16.256,,18.069,7.050,20,6.6,9.0,0.009090,7.060,0.00,99.002,,1.10935,
Q1,128,,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,0066-4189,"13,312",16.306,16.122,,18.487,9.190,21,15.4,12.3,0.010700,7.246,0.00,99.081,,1.30596,
Q1,129,,Science Translational Medicine,SCI TRANSL MED,1946-6234,"34,479",16.304,16.157,,18.559,2.678,264,5.0,7.0,0.116030,8.033,97.35,97.277,,14.15606,
Q1,130,,Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,"1,826",16.292,15.955,,16.708,4.889,45,2.0,4.3,0.009620,7.937,91.11,98.358,,1.17378,
Q1,130,,Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,"1,826",16.292,15.955,,16.708,4.889,45,2.0,4.3,0.009620,7.937,91.11,98.358,,1.17378,
Q1,132,,Energy Storage Materials,ENERGY STORAGE MATER,2405-8297,"8,456",16.280,14.306,,Not Available,4.927,411,1.6,4.1,0.016370,Not Available,86.13,94.042,,1.99781,
Q1,133,,Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,"6,405",16.209,15.659,,18.813,5.522,69,3.4,5.9,0.028290,7.003,52.17,98.307,,3.45190,
Q1,133,,Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,"6,405",16.209,15.659,,18.813,5.522,69,3.4,5.9,0.028290,7.003,52.17,98.307,,3.45190,
Q1,135,,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,0003-4967,"45,865",16.102,14.659,,13.485,5.000,192,7.0,5.8,0.072930,4.105,92.19,95.313,,8.89777,
Q1,136,,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,0962-8924,"15,395",16.041,15.892,,17.794,3.875,72,7.0,5.6,0.034770,7.285,0.00,95.128,,4.24212,
Q1,137,,DIABETES CARE,DIABETES CARE,0149-5992,"70,314",16.019,15.144,,13.054,5.007,302,9.1,6.5,0.087860,4.376,97.68,97.552,,10.71904,
Q1,138,,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,0935-4956,"2,002",16.000,15.917,,13.650,8.714,7,7.8,7.4,0.002880,5.718,0.00,96.324,,0.35234,
Q1,139,,Cell Host & Microbe,CELL HOST MICROBE,1931-3128,"20,501",15.923,15.619,,17.766,4.523,132,5.1,6.1,0.064690,7.834,85.61,98.505,,7.89237,
Q1,140,,Advanced Science,ADV SCI,****-****,"14,599",15.840,15.512,,15.627,2.579,485,2.2,4.7,0.039470,3.678,90.31,93.438,,4.81613,
Q1,141,,MOLECULAR CELL,MOL CELL,1097-2765,"69,148",15.584,14.968,,16.133,3.849,352,7.9,6.6,0.166260,8.318,94.32,96.718,,20.28430,
Q1,142,,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,1523-9829,"4,698",15.541,15.541,,14.689,1.524,21,9.0,7.0,0.004880,4.302,0.00,98.276,,0.59640,
Q1,143,,Nature Microbiology,NAT MICROBIOL,2058-5276,"8,230",15.540,15.176,,16.293,4.407,236,2.4,7.0,0.041520,7.458,94.92,97.407,,5.06623,
