Scopus Source ID,Title,CiteScore 2020,SNIP,SJR,Percentile
12029,Applied Psychology,5.3,2.104,1.497,87
12030,Learning and Behavior,2.3,0.732,0.56,26
12030,Learning and Behavior,2.3,0.732,0.56,28
12030,Learning and Behavior,2.3,0.732,0.56,38
12037,"Welding in the World, Le Soudage Dans Le Monde",2.9,1.173,0.632,70
12037,"Welding in the World, Le Soudage Dans Le Monde",2.9,1.173,0.632,57
12037,"Welding in the World, Le Soudage Dans Le Monde",2.9,1.173,0.632,61
12040,Welding Journal,1.3,0.57,0.27,40
12040,Welding Journal,1.3,0.57,0.27,27
12040,Welding Journal,1.3,0.57,0.27,33
12041,Applied Psychophysiology Biofeedback,3,1.099,0.53,39
12041,Applied Psychophysiology Biofeedback,3,1.099,0.53,57
12042,Legal and Criminological Psychology,4.6,1.38,0.65,76
12042,Legal and Criminological Psychology,4.6,1.38,0.65,75
12043,Interchange,1.2,0.628,0.191,61
12043,Interchange,1.2,0.628,0.191,51
12043,Interchange,1.2,0.628,0.191,45
12043,Interchange,1.2,0.628,0.191,62
12043,Interchange,1.2,0.628,0.191,43
12045,"Interface: Communication, Health, Education",0.8,0.767,0.35,28
12045,"Interface: Communication, Health, Education",0.8,0.767,0.35,46
12045,"Interface: Communication, Health, Education",0.8,0.767,0.35,34
12049,Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,0.9,0.629,0.296,20
12049,Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,0.9,0.629,0.296,26
12049,Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,0.9,0.629,0.296,16
12049,Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,0.9,0.629,0.296,21
12053,Archives of Suicide Research,3.3,0.981,0.909,70
12053,Archives of Suicide Research,3.3,0.981,0.909,61
12054,Arts in Psychotherapy,2.7,1.222,0.544,80
12054,Arts in Psychotherapy,2.7,1.222,0.544,62
12054,Arts in Psychotherapy,2.7,1.222,0.544,53
12055,Asian Journal of Social Psychology,1.8,0.981,0.5,72
12055,Asian Journal of Social Psychology,1.8,0.981,0.5,42
12056,Research in International Business and Finance,4.9,1.825,0.767,90
12056,Research in International Business and Finance,4.9,1.825,0.767,90
12057,Media Psychology,5.3,1.572,1.446,94
12057,Media Psychology,5.3,1.572,1.446,88
12057,Media Psychology,5.3,1.572,1.446,83
12058,Assessment,6.4,1.949,1.59,91
12058,Assessment,6.4,1.949,1.59,88
12059,Memory,3.2,0.93,0.948,69
12059,Memory,3.2,0.93,0.948,75
12061,Memory and Cognition,3.3,1.172,1.324,49
12061,Memory and Cognition,3.3,1.172,1.324,59
12061,Memory and Cognition,3.3,1.172,1.324,76
12062,International Journal for the Advancement of Counselling,1.3,0.704,0.339,46
12062,International Journal for the Advancement of Counselling,1.3,0.704,0.339,28
12062,International Journal for the Advancement of Counselling,1.3,0.704,0.339,46
12063,Journal of Meteorological Research,3.7,0.838,0.822,70
12063,Journal of Meteorological Research,3.7,0.838,0.822,52
12064,Advances in Atmospheric Sciences,4.7,1.186,1.187,64
12065,Cybium,1.3,0.574,0.294,38
12065,Cybium,1.3,0.574,0.294,30
12066,Journal of the American Medical Directors Association,8,2.03,1.84,99
12066,Journal of the American Medical Directors Association,8,2.03,1.84,92
12066,Journal of the American Medical Directors Association,8,2.03,1.84,96
12067,Agricultural and Forest Meteorology,8.9,1.785,1.837,97
12067,Agricultural and Forest Meteorology,8.9,1.785,1.837,94
12067,Agricultural and Forest Meteorology,8.9,1.785,1.837,89
12067,Agricultural and Forest Meteorology,8.9,1.785,1.837,96
12068,International Statistical Review,3.7,2.032,1.051,83
12068,International Statistical Review,3.7,2.032,1.051,84
12070,Attachment and Human Development,4.2,1.678,1.139,79
12070,Attachment and Human Development,4.2,1.678,1.139,72
12072,International Journal of Educational Development,2.8,1.472,0.848,73
12072,International Journal of Educational Development,2.8,1.472,0.848,81
12072,International Journal of Educational Development,2.8,1.472,0.848,76
12073,International Journal of Educational Research,3.1,1.713,0.921,81
12074,Bulletin of the American Meteorological Society,13.5,2.93,3.367,99
12075,Clothing and Textiles Research Journal,2.5,1.431,0.466,68
12075,Clothing and Textiles Research Journal,2.5,1.431,0.466,63
12075,Clothing and Textiles Research Journal,2.5,1.431,0.466,63
12075,Clothing and Textiles Research Journal,2.5,1.431,0.466,49
12079,Atmosfera,2.1,0.521,0.344,34
12080,Australian Health Review,2.5,0.909,0.644,55
12082,Australian Journal of Psychology,2.9,0.975,0.651,64
12084,Australian Psychologist,2.7,0.991,0.589,60
12084,Australian Psychologist,2.7,0.991,0.589,68
12085,American Archivist,0.9,0.742,0.153,47
12085,American Archivist,0.9,0.742,0.153,40
12088,Basic and Applied Social Psychology,2.9,1.083,0.744,66
12088,Basic and Applied Social Psychology,2.9,1.083,0.744,57
12090,Atmosphere - Ocean,2.5,0.808,0.64,51
12090,Atmosphere - Ocean,2.5,0.808,0.64,36
12091,Atmospheric Chemistry and Physics,10.1,1.591,2.622,97
12092,Atmospheric Research,8.6,1.707,1.488,93
12093,Atmospheric Science Letters,3.4,0.752,0.951,51
12094,Journal of the American Statistical Association,6.8,3.839,4.976,95
12094,Journal of the American Statistical Association,6.8,3.839,4.976,96
12095,Anatolia,2.2,0.701,0.452,57
12095,Anatolia,2.2,0.701,0.452,64
12099,British Educational Research Journal,3.3,1.94,1.171,83
12100,British Journal of Educational Studies,3.2,2.143,0.973,83
12102,Behavior Modification,4.9,2.162,1.191,90
12102,Behavior Modification,4.9,2.162,1.191,86
12102,Behavior Modification,4.9,2.162,1.191,83
12104,British Journal of Sociology of Education,3.3,1.967,1.383,85
12104,British Journal of Sociology of Education,3.3,1.967,1.383,84
12107,Behavior Therapy,6.2,1.876,1.893,90
12108,Behavioral and Brain Sciences,3.5,1.467,0.812,52
12108,Behavioral and Brain Sciences,3.5,1.467,0.812,44
12108,Behavioral and Brain Sciences,3.5,1.467,0.812,35
12111,Behavioral Medicine,4.1,1.062,0.896,71
12111,Behavioral Medicine,4.1,1.062,0.896,69
12115,Journal of Economic and Social Measurement,0.7,0.67,0.492,48
12116,IEEE Photonics Technology Letters,5.5,1.008,0.81,76
12116,IEEE Photonics Technology Letters,5.5,1.008,0.81,77
12116,IEEE Photonics Technology Letters,5.5,1.008,0.81,79
12117,Asia Pacific Journal of Tourism Research,4.4,1.317,0.968,77
12117,Asia Pacific Journal of Tourism Research,4.4,1.317,0.968,87
12119,Journal of Applied Statistics,1.9,0.99,0.509,62
12119,Journal of Applied Statistics,1.9,0.99,0.509,60
12120,Journal of Nonparametric Statistics,1.4,1.226,0.735,44
12120,Journal of Nonparametric Statistics,1.4,1.226,0.735,41
12121,Infrared Physics and Technology,4.4,1.223,0.542,69
12121,Infrared Physics and Technology,4.4,1.223,0.542,70
12121,Infrared Physics and Technology,4.4,1.223,0.542,70
12122,Behavioral Neuroscience,3.5,0.688,0.918,44
12123,Behavioral Sciences and the Law,2.5,1.036,0.649,87
12123,Behavioral Sciences and the Law,2.5,1.036,0.649,60
12123,Behavioral Sciences and the Law,2.5,1.036,0.649,52
12125,Behaviour and Information Technology,4.5,1.243,0.641,92
12125,Behaviour and Information Technology,4.5,1.243,0.641,87
12125,Behaviour and Information Technology,4.5,1.243,0.641,62
12125,Behaviour and Information Technology,4.5,1.243,0.641,82
12126,Behaviour Change,1.9,0.611,0.428,30
12126,Behaviour Change,1.9,0.611,0.428,54
12127,Behaviour Research and Therapy,8,2.146,2.506,94
12127,Behaviour Research and Therapy,8,2.146,2.506,96
12127,Behaviour Research and Therapy,8,2.146,2.506,92
12128,Behavioural and Cognitive Psychotherapy,2.8,0.807,0.851,65
12132,Boundary-Layer Meteorology,6,1.472,1.107,76
12133,Hydrometallurgy,6.4,1.758,0.939,90
12133,Hydrometallurgy,6.4,1.758,0.939,86
12133,Hydrometallurgy,6.4,1.758,0.939,86
12134,Journal of Official Statistics,1.8,1.219,0.605,56
12136,Journal of Statistical Planning and Inference,1.4,1.129,0.622,45
12136,Journal of Statistical Planning and Inference,1.4,1.129,0.622,42
12136,Journal of Statistical Planning and Inference,1.4,1.129,0.622,37
12137,Journal of Statistical Software,17,7.237,7.636,99
12137,Journal of Statistical Software,17,7.237,7.636,99
12137,Journal of Statistical Software,17,7.237,7.636,97
12139,Journal of Statistics Education,1.2,0.834,0.47,36
12139,Journal of Statistics Education,1.2,0.834,0.47,33
12139,Journal of Statistics Education,1.2,0.834,0.47,43
12140,Journal of Time Series Analysis,1.9,1.586,1.576,61
12140,Journal of Time Series Analysis,1.9,1.586,1.576,59
12140,Journal of Time Series Analysis,1.9,1.586,1.576,51
12142,International Journal of Mass Spectrometry,3.7,0.771,0.511,52
12142,International Journal of Mass Spectrometry,3.7,0.771,0.511,69
12142,International Journal of Mass Spectrometry,3.7,0.771,0.511,55
12142,International Journal of Mass Spectrometry,3.7,0.771,0.511,61
12145,Biological Psychology,5.2,1.148,1.363,84
12145,Biological Psychology,5.2,1.148,1.363,56
12148,ISIJ International,2.7,1.279,0.753,68
12148,ISIJ International,2.7,1.279,0.753,53
12148,ISIJ International,2.7,1.279,0.753,53
12148,ISIJ International,2.7,1.279,0.753,57
12149,Transactions of the Indian Institute of Metals,2.3,0.725,0.365,62
12155,Journal of Applied Spectroscopy,1.2,0.403,0.203,12
12155,Journal of Applied Spectroscopy,1.2,0.403,0.203,18
12156,Journal of Biomedical Optics,6,1.179,0.92,68
12156,Journal of Biomedical Optics,6,1.179,0.92,80
12156,Journal of Biomedical Optics,6,1.179,0.92,79
12156,Journal of Biomedical Optics,6,1.179,0.92,74
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,57
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,45
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,50
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,55
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,51
12157,Journal of Electron Spectroscopy and Related Phenomena,3.3,0.631,0.628,55
12159,Body Image,6.8,2.044,1.781,95
12159,Body Image,6.8,2.044,1.781,91
12159,Body Image,6.8,2.044,1.781,90
12160,Journal of Laser Applications,3,0.931,0.549,58
12160,Journal of Laser Applications,3,0.931,0.549,49
12160,Journal of Laser Applications,3,0.931,0.549,44
12160,Journal of Laser Applications,3,0.931,0.549,48
12162,Journal of the Marine Biological Association of the United Kingdom,2.7,0.802,0.5,51
12163,Brain and Cognition,4.8,1.132,1.245,74
12163,Brain and Cognition,4.8,1.132,1.245,89
12163,Brain and Cognition,4.8,1.132,1.245,76
12163,Brain and Cognition,4.8,1.132,1.245,60
12163,Brain and Cognition,4.8,1.132,1.245,84
12164,Brain and Language,5.1,1.075,1.158,95
12164,Brain and Language,5.1,1.075,1.158,97
12164,Brain and Language,5.1,1.075,1.158,97
12164,Brain and Language,5.1,1.075,1.158,80
12164,Brain and Language,5.1,1.075,1.158,68
12165,Marine Biology,4,0.965,0.93,76
12165,Marine Biology,4,0.965,0.93,79
12165,Marine Biology,4,0.965,0.93,77
12166,Mathematics and Computers in Simulation,4,1.433,0.541,84
12166,Mathematics and Computers in Simulation,4,1.433,0.541,74
12166,Mathematics and Computers in Simulation,4,1.433,0.541,77
12166,Mathematics and Computers in Simulation,4,1.433,0.541,75
12166,Mathematics and Computers in Simulation,4,1.433,0.541,83
12167,Marine Ecology,3,0.843,0.668,59
12167,Marine Ecology,3,0.843,0.668,65
12167,Marine Ecology,3,0.843,0.668,64
12169,Marine Ecology - Progress Series,4.4,0.958,1.151,79
12169,Marine Ecology - Progress Series,4.4,0.958,1.151,81
12169,Marine Ecology - Progress Series,4.4,0.958,1.151,81
12170,"Modeling, Identification and Control",1.9,0.758,0.217,38
12170,"Modeling, Identification and Control",1.9,0.758,0.217,38
12170,"Modeling, Identification and Control",1.9,0.758,0.217,28
12170,"Modeling, Identification and Control",1.9,0.758,0.217,39
12171,Transactions of the Institute of Metal Finishing,2.2,0.473,0.293,36
12171,Transactions of the Institute of Metal Finishing,2.2,0.473,0.293,61
12171,Transactions of the Institute of Metal Finishing,2.2,0.473,0.293,45
12171,Transactions of the Institute of Metal Finishing,2.2,0.473,0.293,45
12171,Transactions of the Institute of Metal Finishing,2.2,0.473,0.293,39
12172,Climate Dynamics,7.6,1.352,2.026,87
12174,"Navigation, Journal of the Institute of Navigation",5,1.849,0.847,84
12174,"Navigation, Journal of the Institute of Navigation",5,1.849,0.847,75
12175,Climate Research,3.7,0.691,0.636,74
12175,Climate Research,3.7,0.691,0.636,55
12175,Climate Research,3.7,0.691,0.636,50
12177,Climatic Change,7.1,1.609,1.546,85
12177,Climatic Change,7.1,1.609,1.546,79
12178,Journal of Lightwave Technology,9.3,1.778,1.346,91
12179,Journal of Luminescence,6.1,0.945,0.652,82
12179,Journal of Luminescence,6.1,0.945,0.652,80
12179,Journal of Luminescence,6.1,0.945,0.652,83
12179,Journal of Luminescence,6.1,0.945,0.652,81
12179,Journal of Luminescence,6.1,0.945,0.652,70
12181,Journal of Modern Optics,3.1,0.619,0.377,52
12182,Journal of Molecular Spectroscopy,3.1,0.78,0.413,42
12182,Journal of Molecular Spectroscopy,3.1,0.78,0.413,51
12182,Journal of Molecular Spectroscopy,3.1,0.78,0.413,44
12183,Journal of Nonlinear Optical Physics and Materials,2.9,0.63,0.236,56
12183,Journal of Nonlinear Optical Physics and Materials,2.9,0.63,0.236,47
12183,Journal of Nonlinear Optical Physics and Materials,2.9,0.63,0.236,46
12184,Journal of Optical Technology (A Translation of Opticheskii Zhurnal),1,0.409,0.219,22
12184,Journal of Optical Technology (A Translation of Opticheskii Zhurnal),1,0.409,0.219,15
12184,Journal of Optical Technology (A Translation of Opticheskii Zhurnal),1,0.409,0.219,37
12184,Journal of Optical Technology (A Translation of Opticheskii Zhurnal),1,0.409,0.219,28
12185,Journal of Optics (India),1.3,0.441,0.209,20
12186,Joint Bone Spine,4.1,0.936,0.922,58
12188,Simulation and Gaming,4.2,1.052,0.51,90
12188,Simulation and Gaming,4.2,1.052,0.51,69
12189,Simulation Modelling Practice and Theory,6.1,1.673,0.554,89
12189,Simulation Modelling Practice and Theory,6.1,1.673,0.554,78
12189,Simulation Modelling Practice and Theory,6.1,1.673,0.554,75
12191,Journal of Arthroplasty,7,1.994,2.766,95
12192,Journal of Back and Musculoskeletal Rehabilitation,2,0.902,0.508,57
12192,Journal of Back and Musculoskeletal Rehabilitation,2,0.902,0.508,50
12192,Journal of Back and Musculoskeletal Rehabilitation,2,0.902,0.508,49
12194,Revista Espanola de Geriatria y Gerontologia,1,0.309,0.206,12
12194,Revista Espanola de Geriatria y Gerontologia,1,0.309,0.206,22
12194,Revista Espanola de Geriatria y Gerontologia,1,0.309,0.206,27
12196,Methods in Molecular Biology,2.2,0.57,0.711,24
12196,Methods in Molecular Biology,2.2,0.57,0.711,16
12198,Journal of Bone and Joint Surgery - Series A,7.4,2.581,2.634,96
12198,Journal of Bone and Joint Surgery - Series A,7.4,2.581,2.634,97
12202,Intermetallics,6.1,1.326,1.133,89
12202,Intermetallics,6.1,1.326,1.133,85
12202,Intermetallics,6.1,1.326,1.133,85
12202,Intermetallics,6.1,1.326,1.133,81
12202,Intermetallics,6.1,1.326,1.133,86
12204,International Journal of Cast Metals Research,2,0.704,0.312,57
12204,International Journal of Cast Metals Research,2,0.704,0.312,40
12204,International Journal of Cast Metals Research,2,0.704,0.312,45
12207,Journal of Quantitative Spectroscopy and Radiative Transfer,5.6,1.353,0.81,89
12207,Journal of Quantitative Spectroscopy and Radiative Transfer,5.6,1.353,0.81,69
12207,Journal of Quantitative Spectroscopy and Radiative Transfer,5.6,1.353,0.81,77
12209,Laser and Particle Beams,2.4,0.755,0.434,38
12209,Laser and Particle Beams,2.4,0.755,0.434,41
12209,Laser and Particle Beams,2.4,0.755,0.434,48
12211,Journal of Bone and Mineral Research,10.6,2.022,1.882,98
12211,Journal of Bone and Mineral Research,10.6,2.022,1.882,92
12212,Journal of Critical Care,5.8,1.485,1.149,88
12213,ACM Transactions on Computer Systems,4.5,1.681,0.343,80
12214,Journal of Emergency Medicine,2,0.876,0.501,59
12216,Molecular Biology and Evolution,19.8,6.316,6.637,99
12216,Molecular Biology and Evolution,19.8,6.316,6.637,98
12216,Molecular Biology and Evolution,19.8,6.316,6.637,96
12217,Molecules and Cells,6.7,1.167,1.665,65
12217,Molecules and Cells,6.7,1.167,1.665,67
12218,Journal of Head Trauma Rehabilitation,4.9,1.169,0.948,93
12218,Journal of Head Trauma Rehabilitation,4.9,1.169,0.948,87
12218,Journal of Head Trauma Rehabilitation,4.9,1.169,0.948,67
12219,International Journal of Refractory Metals and Hard Materials,6.3,1.466,0.931,89
12219,International Journal of Refractory Metals and Hard Materials,6.3,1.466,0.931,83
12219,International Journal of Refractory Metals and Hard Materials,6.3,1.466,0.931,86
12219,International Journal of Refractory Metals and Hard Materials,6.3,1.466,0.931,85
12219,International Journal of Refractory Metals and Hard Materials,6.3,1.466,0.931,87
12220,Journal of Muscle Research and Cell Motility,3.3,0.947,0.761,32
12220,Journal of Muscle Research and Cell Motility,3.3,0.947,0.761,28
12220,Journal of Muscle Research and Cell Motility,3.3,0.947,0.761,37
12221,Asian Journal of Control,5,1.34,0.769,72
12223,Social Identities,1.9,0.909,0.362,70
12225,Laser Physics,2.4,0.615,0.377,47
12225,Laser Physics,2.4,0.615,0.377,39
12225,Laser Physics,2.4,0.615,0.377,56
12225,Laser Physics,2.4,0.615,0.377,43
12227,Lasers in Engineering,0.8,0.275,0.2,12
12227,Lasers in Engineering,0.8,0.275,0.2,30
12227,Lasers in Engineering,0.8,0.275,0.2,19
12229,Mass Spectrometry Reviews,18.4,2.596,2.035,99
12229,Mass Spectrometry Reviews,18.4,2.596,2.035,99
12229,Mass Spectrometry Reviews,18.4,2.596,2.035,96
12229,Mass Spectrometry Reviews,18.4,2.596,2.035,97
12234,Journal of Musculoskeletal Research,0.3,0.075,0.12,7
12235,Journal of Neurotrauma,8.1,1.366,1.653,88
12236,Journal of Orofacial Orthopedics,2.4,1.041,0.623,67
12236,Journal of Orofacial Orthopedics,2.4,1.041,0.623,58
12239,Journal of Orthopaedic Research,5.7,1.336,1.041,91
12240,Journal of Orthopaedic Science,2.3,1.023,0.618,55
12240,Journal of Orthopaedic Science,2.3,1.023,0.618,58
12245,Journal of HIV/AIDS and Social Services,1,0.402,0.384,32
12246,Structural Control and Health Monitoring,7.6,1.882,1.587,93
12246,Structural Control and Health Monitoring,7.6,1.882,1.587,92
12246,Structural Control and Health Monitoring,7.6,1.882,1.587,91
12247,Journal of Human Behavior in the Social Environment,1.4,0.72,0.328,74
12247,Journal of Human Behavior in the Social Environment,1.4,0.72,0.328,55
12249,Studies in History and Philosophy of Science Part B - Studies in History and Philosophy of Modern Physics,2.2,1.469,0.95,87
12249,Studies in History and Philosophy of Science Part B - Studies in History and Philosophy of Modern Physics,2.2,1.469,0.95,97
12249,Studies in History and Philosophy of Science Part B - Studies in History and Philosophy of Modern Physics,2.2,1.469,0.95,50
12250,Microwave and Optical Technology Letters,2.7,0.616,0.304,45
12250,Microwave and Optical Technology Letters,2.7,0.616,0.304,43
12250,Microwave and Optical Technology Letters,2.7,0.616,0.304,47
12250,Microwave and Optical Technology Letters,2.7,0.616,0.304,52
12252,Journal of Public Health,3.5,1.149,0.916,66
12255,Journal of Orthopaedic Surgery,1.4,0.634,0.457,41
12256,Cambridge Law Journal,1.1,1.465,0.163,60
12257,Journal of Orthopaedic Trauma,3.2,1.472,1.221,78
12259,Journal of Orthopaedics and Traumatology,5.4,2.018,1.124,89
12259,Journal of Orthopaedics and Traumatology,5.4,2.018,1.124,92
12260,Journal of Pediatric Orthopaedics,3.5,1.549,1.318,71
12260,Journal of Pediatric Orthopaedics,3.5,1.549,1.318,74
12261,Journal of Pediatric Orthopaedics Part B,1.7,0.944,0.432,43
12261,Journal of Pediatric Orthopaedics Part B,1.7,0.944,0.432,48
12262,Formal Methods in System Design,4.5,1.066,0.334,78
12262,Formal Methods in System Design,4.5,1.066,0.334,64
12262,Formal Methods in System Design,4.5,1.066,0.334,61
12263,Journal of Prosthetics and Orthotics,1.1,0.526,0.282,41
12263,Journal of Prosthetics and Orthotics,1.1,0.526,0.282,32
12263,Journal of Prosthetics and Orthotics,1.1,0.526,0.282,16
12264,Future Generation Computer Systems,13.3,2.72,1.262,97
12264,Future Generation Computer Systems,13.3,2.72,1.262,96
12264,Future Generation Computer Systems,13.3,2.72,1.262,95
12268,Iron and Steel Technology,0.3,0.198,0.139,13
12268,Iron and Steel Technology,0.3,0.198,0.139,10
12268,Iron and Steel Technology,0.3,0.198,0.139,4
12268,Iron and Steel Technology,0.3,0.198,0.139,7
12272,Journal of Rehabilitation Medicine,3.7,1.269,0.893,81
12272,Journal of Rehabilitation Medicine,3.7,1.269,0.893,79
12274,Progress in Aerospace Sciences,18.9,5.815,2.328,99
12274,Progress in Aerospace Sciences,18.9,5.815,2.328,98
12274,Progress in Aerospace Sciences,18.9,5.815,2.328,98
12277,Management Accounting Research,5.6,1.669,1.358,90
12277,Management Accounting Research,5.6,1.669,1.358,92
12277,Management Accounting Research,5.6,1.669,1.358,78
12278,Superconductor Science and Technology,5.7,1.708,1.033,87
12278,Superconductor Science and Technology,5.7,1.708,1.033,80
12278,Superconductor Science and Technology,5.7,1.708,1.033,84
12278,Superconductor Science and Technology,5.7,1.708,1.033,80
12278,Superconductor Science and Technology,5.7,1.708,1.033,79
12282,Journal of Social Policy,4.6,2.385,1.425,93
12282,Journal of Social Policy,4.6,2.385,1.425,87
12282,Journal of Social Policy,4.6,2.385,1.425,78
12283,Journal of Social Service Research,1.5,0.838,0.335,59
12283,Journal of Social Service Research,1.5,0.838,0.335,65
12284,Surface Science,3.3,0.716,0.562,50
12284,Surface Science,3.3,0.716,0.562,59
12284,Surface Science,3.3,0.716,0.562,62
12284,Surface Science,3.3,0.716,0.562,55
12286,Surface Science Reports,20.7,4.351,3.627,99
12286,Surface Science Reports,20.7,4.351,3.627,98
12286,Surface Science Reports,20.7,4.351,3.627,97
12286,Surface Science Reports,20.7,4.351,3.627,97
12286,Surface Science Reports,20.7,4.351,3.627,98
12286,Surface Science Reports,20.7,4.351,3.627,97
12286,Surface Science Reports,20.7,4.351,3.627,97
12288,Nonlinear Optics Quantum Optics,1.5,0.434,0.214,18
12288,Nonlinear Optics Quantum Optics,1.5,0.434,0.214,29
12288,Nonlinear Optics Quantum Optics,1.5,0.434,0.214,43
12288,Nonlinear Optics Quantum Optics,1.5,0.434,0.214,26
12288,Nonlinear Optics Quantum Optics,1.5,0.434,0.214,28
12289,Optica Applicata,1.3,0.399,0.204,22
12289,Optica Applicata,1.3,0.399,0.204,23
12299,Journal of wound care,3,1.08,0.52,95
12299,Journal of wound care,3,1.08,0.52,76
12300,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,5.4,1.543,0.506,72
12300,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,5.4,1.543,0.506,71
12300,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,5.4,1.543,0.506,77
12301,JFE Technical Report,0.2,0.148,0.108,10
12301,JFE Technical Report,0.2,0.148,0.108,8
12301,JFE Technical Report,0.2,0.148,0.108,3
12301,JFE Technical Report,0.2,0.148,0.108,6
12302,JOM,3.9,0.999,0.67,79
12302,JOM,3.9,0.999,0.67,62
12303,Information and Management,12.3,2.946,2.147,96
12303,Information and Management,12.3,2.946,2.147,95
12303,Information and Management,12.3,2.946,2.147,96
12305,Information Systems,7.3,2.128,0.547,83
12305,Information Systems,7.3,2.128,0.547,86
12305,Information Systems,7.3,2.128,0.547,82
12306,Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,0.7,0.356,0.204,21
12306,Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,0.7,0.356,0.204,19
12306,Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,0.7,0.356,0.204,12
12306,Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,0.7,0.356,0.204,8
12307,Jinshu Xuebao/Acta Metallurgica Sinica,2.3,0.877,0.381,63
12307,Jinshu Xuebao/Acta Metallurgica Sinica,2.3,0.877,0.381,54
12307,Jinshu Xuebao/Acta Metallurgica Sinica,2.3,0.877,0.381,47
12307,Jinshu Xuebao/Acta Metallurgica Sinica,2.3,0.877,0.381,52
12308,Journal of Social Work Education,1.7,1.073,0.713,62
12308,Journal of Social Work Education,1.7,1.073,0.713,56
12309,Journal of Social Work Practice,1.3,0.944,0.52,62
12309,Journal of Social Work Practice,1.3,0.944,0.52,54
12309,Journal of Social Work Practice,1.3,0.944,0.52,38
12310,Technical Physics,1.3,0.766,0.297,23
12311,Technical Physics Letters,1.6,0.699,0.338,33
12313,Optical and Quantum Electronics,3.5,0.796,0.396,58
12313,Optical and Quantum Electronics,3.5,0.796,0.396,56
12313,Optical and Quantum Electronics,3.5,0.796,0.396,61
12316,Optical Engineering,2.5,0.691,0.357,64
12316,Optical Engineering,2.5,0.691,0.357,41
12317,Optical Fiber Technology,4.2,1.02,0.565,78
12317,Optical Fiber Technology,4.2,1.02,0.565,67
12317,Optical Fiber Technology,4.2,1.02,0.565,68
12317,Optical Fiber Technology,4.2,1.02,0.565,69
12317,Optical Fiber Technology,4.2,1.02,0.565,68
12318,Optical Materials,4.8,0.955,0.598,74
